"X","Number.of.Homicide.Convictions","Percentage.of.Homicide.Convictions","Number.of.Homicide.Unsuccessful","Percentage.of.Homicide.Unsuccessful","Number.of.Offences.Against.The.Person.Convictions","Percentage.of.Offences.Against.The.Person.Convictions","Number.of.Offences.Against.The.Person.Unsuccessful","Percentage.of.Offences.Against.The.Person.Unsuccessful","Number.of.Sexual.Offences.Convictions","Percentage.of.Sexual.Offences.Convictions","Number.of.Sexual.Offences.Unsuccessful","Percentage.of.Sexual.Offences.Unsuccessful","Number.of.Burglary.Convictions","Percentage.of.Burglary.Convictions","Number.of.Burglary.Unsuccessful","Percentage.of.Burglary.Unsuccessful","Number.of.Robbery.Convictions","Percentage.of.Robbery.Convictions","Number.of.Robbery.Unsuccessful","Percentage.of.Robbery.Unsuccessful","Number.of.Theft.And.Handling.Convictions","Percentage.of.Theft.And.Handling.Convictions","Number.of.Theft.And.Handling.Unsuccessful","Percentage.of.Theft.And.Handling.Unsuccessful","Number.of.Fraud.And.Forgery.Convictions","Percentage.of.Fraud.And.Forgery.Convictions","Number.of.Fraud.And.Forgery.Unsuccessful","Percentage.of.Fraud.And.Forgery.Unsuccessful","Number.of.Criminal.Damage.Convictions","Percentage.of.Criminal.Damage.Convictions","Number.of.Criminal.Damage.Unsuccessful","Percentage.of.Criminal.Damage.Unsuccessful","Number.of.Drugs.Offences.Convictions","Percentage.of.Drugs.Offences.Convictions","Number.of.Drugs.Offences.Unsuccessful","Percentage.of.Drugs.Offences.Unsuccessful","Number.of.Public.Order.Offences.Convictions","Percentage.of.Public.Order.Offences.Convictions","Number.of.Public.Order.Offences.Unsuccessful","Percentage.of.Public.Order.Offences.Unsuccessful","Number.of.All.Other.Offences..excluding.Motoring..Convictions","Percentage.of.All.Other.Offences..excluding.Motoring..Convictions","Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Percentage.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Number.of.Motoring.Offences.Convictions","Percentage.of.Motoring.Offences.Convictions","Number.of.Motoring.Offences.Unsuccessful","Percentage.of.Motoring.Offences.Unsuccessful","Number.of.Admin.Finalised.Unsuccessful","Percentage.of.L.Motoring.Offences.Unsuccessful","year","month"
"Suffolk",2,"100.0%",0,"0.0%","94","86.2%","15","13.8%","8","80.0%",2,"20.0%","5","100.0%",0,"0.0%",8,"88.9%",1,"11.1%","62","96.9%","2","3.1%","7","87.5%",1,"12.5%","19","86.4%",3,"13.6%","43","95.6%",2,"4.4%","41","95.3%",2,"4.7%","6","100.0%",0,"0.0%","84","95.5%","4","4.5%","8","100.0%","2017","sep"
"Surrey",3,"100.0%",0,"0.0%","129","79.1%","34","20.9%","21","75.0%",7,"25.0%","13","92.9%",1,"7.1%",1,"100.0%",0,"0.0%","57","90.5%","6","9.5%","13","86.7%",2,"13.3%","21","87.5%",3,"12.5%","18","100.0%",0,"0.0%","20","90.9%",2,"9.1%","10","100.0%",0,"0.0%","95","89.6%","11","10.4%","7","100.0%","2017","sep"
"Sussex",0,"-",0,"-","257","79.3%","67","20.7%","28","71.8%",11,"28.2%","18","100.0%",0,"0.0%",5,"55.6%",4,"44.4%","90","94.7%","5","5.3%","18","85.7%",3,"14.3%","25","86.2%",4,"13.8%","71","94.7%",4,"5.3%","55","82.1%",12,"17.9%","10","100.0%",0,"0.0%","180","86.5%","28","13.5%","11","100.0%","2017","sep"
"Thames Valley",4,"80.0%",1,"20.0%","333","76.4%","103","23.6%","46","75.4%",15,"24.6%","58","96.7%",2,"3.3%",7,"70.0%",3,"30.0%","233","91.4%","22","8.6%","36","87.8%",5,"12.2%","73","89.0%",9,"11.0%","98","93.3%",7,"6.7%","81","89.0%",10,"11.0%","32","97.0%",1,"3.0%","318","88.8%","40","11.2%","30","100.0%","2017","sep"
"Warwickshire",0,"-",0,"-","65","80.2%","16","19.8%","9","69.2%",4,"30.8%","13","92.9%",1,"7.1%",3,"100.0%",0,"0.0%","42","82.4%","9","17.6%","10","90.9%",1,"9.1%","9","69.2%",4,"30.8%","21","91.3%",2,"8.7%","19","82.6%",4,"17.4%","4","100.0%",0,"0.0%","78","78.8%","21","21.2%","11","100.0%","2017","sep"
"West Mercia",6,"100.0%",0,"0.0%","220","78.6%","60","21.4%","20","69.0%",9,"31.0%","25","83.3%",5,"16.7%",4,"66.7%",2,"33.3%","112","93.3%","8","6.7%","16","80.0%",4,"20.0%","41","89.1%",5,"10.9%","56","96.6%",2,"3.4%","75","92.6%",6,"7.4%","11","84.6%",2,"15.4%","190","87.6%","27","12.4%","12","100.0%","2017","sep"
"West Midlands",11,"91.7%",1,"8.3%","609","78.0%","172","22.0%","66","74.2%",23,"25.8%","63","82.9%",13,"17.1%",30,"76.9%",9,"23.1%","446","94.5%","26","5.5%","59","84.3%",11,"15.7%","89","84.8%",16,"15.2%","211","94.2%",13,"5.8%","253","86.9%",38,"13.1%","69","82.1%",15,"17.9%","280","80.5%","68","19.5%","92","100.0%","2017","sep"
"West Yorkshire",5,"71.4%",2,"28.6%","446","85.9%","73","14.1%","71","68.3%",33,"31.7%","84","94.4%",5,"5.6%",15,"93.8%",1,"6.3%","243","94.2%","15","5.8%","34","85.0%",6,"15.0%","70","84.3%",13,"15.7%","137","96.5%",5,"3.5%","154","91.1%",15,"8.9%","24","75.0%",8,"25.0%","236","91.8%","21","8.2%","51","100.0%","2017","sep"
"Wiltshire",0,"-",0,"-","85","86.7%","13","13.3%","12","100.0%",0,"0.0%","7","87.5%",1,"12.5%",0,"0",0,"0","58","98.3%","1","1.7%","8","100.0%",0,"0.0%","13","92.9%",1,"7.1%","25","100.0%",0,"0.0%","21","87.5%",3,"12.5%","7","87.5%",1,"12.5%","64","97.0%","2","3.0%","4","100.0%","2017","sep"
"National",54,"73.0%",20,"27.0%","10,056","79.2%","2,644","20.8%","994","74.7%",337,"25.3%","1,099","85.4%",188,"14.6%",370,"80.1%",92,"19.9%","6,192","91.4%","579","8.6%","867","86.1%",140,"13.9%","1,767","87.8%",245,"12.2%","3,465","92.4%",283,"7.6%","3,296","85.3%",570,"14.7%","739","86.1%",119,"13.9%","7,167","86.1%","1,160","13.9%","948","100.0%","2018","aug"
"Avon and Somerset",2,"66.7%",1,"33.3%","255","80.4%","62","19.6%","41","82.0%",9,"18.0%","29","90.6%",3,"9.4%",8,"66.7%",4,"33.3%","140","95.2%","7","4.8%","25","92.6%",2,"7.4%","60","85.7%",10,"14.3%","53","93.0%",4,"7.0%","75","89.3%",9,"10.7%","14","82.4%",3,"17.6%","184","89.8%","21","10.2%","33","100.0%","2018","aug"
"Bedfordshire",0,"-",0,"-","115","86.5%","18","13.5%","4","100.0%",0,"0.0%","8","88.9%",1,"11.1%",6,"100.0%",0,"0.0%","68","87.2%","10","12.8%","7","87.5%",1,"12.5%","9","75.0%",3,"25.0%","17","89.5%",2,"10.5%","19","76.0%",6,"24.0%","5","83.3%",1,"16.7%","97","79.5%","25","20.5%","22","100.0%","2018","aug"
"Cambridgeshire",1,"100.0%",0,"0.0%","108","80.0%","27","20.0%","13","92.9%",1,"7.1%","12","92.3%",1,"7.7%",0,"0.0%",1,"100.0%","65","95.6%","3","4.4%","9","100.0%",0,"0.0%","17","94.4%",1,"5.6%","23","92.0%",2,"8.0%","23","92.0%",2,"8.0%","6","60.0%",4,"40.0%","70","90.9%","7","9.1%","16","100.0%","2018","aug"
"Cheshire",3,"75.0%",1,"25.0%","263","80.4%","64","19.6%","18","62.1%",11,"37.9%","17","85.0%",3,"15.0%",7,"77.8%",2,"22.2%","145","91.2%","14","8.8%","15","100.0%",0,"0.0%","40","93.0%",3,"7.0%","103","96.3%",4,"3.7%","123","88.5%",16,"11.5%","12","85.7%",2,"14.3%","230","84.9%","41","15.1%","12","100.0%","2018","aug"
"Cleveland",1,"50.0%",1,"50.0%","118","76.6%","36","23.4%","10","90.9%",1,"9.1%","22","66.7%",11,"33.3%",7,"87.5%",1,"12.5%","175","97.2%","5","2.8%","15","78.9%",4,"21.1%","30","88.2%",4,"11.8%","48","92.3%",4,"7.7%","46","85.2%",8,"14.8%","7","100.0%",0,"0.0%","55","84.6%","10","15.4%","4","100.0%","2018","aug"
"Cumbria",0,"-",0,"-","102","90.3%","11","9.7%","3","100.0%",0,"0.0%","8","72.7%",3,"27.3%",5,"83.3%",1,"16.7%","71","93.4%","5","6.6%","7","87.5%",1,"12.5%","19","100.0%",0,"0.0%","19","100.0%",0,"0.0%","21","95.5%",1,"4.5%","4","100.0%",0,"0.0%","99","94.3%","6","5.7%","2","100.0%","2018","aug"
"Derbyshire",0,"-",0,"-","173","83.2%","35","16.8%","13","92.9%",1,"7.1%","17","100.0%",0,"0.0%",10,"100.0%",0,"0.0%","131","91.0%","13","9.0%","18","100.0%",0,"0.0%","31","93.9%",2,"6.1%","51","87.9%",7,"12.1%","62","92.5%",5,"7.5%","11","91.7%",1,"8.3%","100","88.5%","13","11.5%","11","100.0%","2018","aug"
"Devon and Cornwall",1,"100.0%",0,"0.0%","195","87.1%","29","12.9%","8","72.7%",3,"27.3%","33","94.3%",2,"5.7%",2,"100.0%",0,"0.0%","111","96.5%","4","3.5%","7","87.5%",1,"12.5%","37","92.5%",3,"7.5%","56","98.2%",1,"1.8%","72","90.0%",8,"10.0%","8","66.7%",4,"33.3%","178","89.9%","20","10.1%","11","100.0%","2018","aug"
"Dorset",1,"50.0%",1,"50.0%","132","85.7%","22","14.3%","17","94.4%",1,"5.6%","8","80.0%",2,"20.0%",3,"50.0%",3,"50.0%","68","97.1%","2","2.9%","5","83.3%",1,"16.7%","24","85.7%",4,"14.3%","41","95.3%",2,"4.7%","53","85.5%",9,"14.5%","11","91.7%",1,"8.3%","96","84.2%","18","15.8%","7","100.0%","2018","aug"
"Durham",0,"-",0,"-","134","88.7%","17","11.3%","7","77.8%",2,"22.2%","19","95.0%",1,"5.0%",2,"66.7%",1,"33.3%","139","95.2%","7","4.8%","6","100.0%",0,"0.0%","22","91.7%",2,"8.3%","14","100.0%",0,"0.0%","24","100.0%",0,"0.0%","7","87.5%",1,"12.5%","103","98.1%","2","1.9%","7","100.0%","2018","aug"
"Dyfed Powys",1,"100.0%",0,"0.0%","74","78.7%","20","21.3%","7","63.6%",4,"36.4%","3","75.0%",1,"25.0%",0,"0",0,"0","46","93.9%","3","6.1%","1","100.0%",0,"0.0%","14","100.0%",0,"0.0%","39","95.1%",2,"4.9%","26","96.3%",1,"3.7%","4","100.0%",0,"0.0%","66","93.0%","5","7.0%","5","100.0%","2018","aug"
"Essex",4,"100.0%",0,"0.0%","283","82.3%","61","17.7%","32","68.1%",15,"31.9%","25","86.2%",4,"13.8%",7,"87.5%",1,"12.5%","116","92.8%","9","7.2%","18","81.8%",4,"18.2%","42","85.7%",7,"14.3%","73","93.6%",5,"6.4%","64","88.9%",8,"11.1%","19","86.4%",3,"13.6%","188","70.9%","77","29.1%","25","100.0%","2018","aug"
"Gloucestershire",0,"-",0,"-","69","86.3%","11","13.8%","4","80.0%",1,"20.0%","2","66.7%",1,"33.3%",1,"100.0%",0,"0.0%","47","92.2%","4","7.8%","5","71.4%",2,"28.6%","16","100.0%",0,"0.0%","18","100.0%",0,"0.0%","23","88.5%",3,"11.5%","2","100.0%",0,"0.0%","54","88.5%","7","11.5%","8","100.0%","2018","aug"
"GreaterManchester",2,"100.0%",0,"0.0%","493","82.6%","104","17.4%","71","68.9%",32,"31.1%","51","89.5%",6,"10.5%",38,"84.4%",7,"15.6%","171","94.5%","10","5.5%","26","86.7%",4,"13.3%","76","86.4%",12,"13.6%","106","91.4%",10,"8.6%","168","93.3%",12,"6.7%","34","87.2%",5,"12.8%","367","90.8%","37","9.2%","33","100.0%","2018","aug"
"Gwent",0,"-",0,"-","103","85.1%","18","14.9%","7","70.0%",3,"30.0%","18","100.0%",0,"0.0%",2,"100.0%",0,"0.0%","100","93.5%","7","6.5%","5","100.0%",0,"0.0%","20","76.9%",6,"23.1%","39","97.5%",1,"2.5%","36","85.7%",6,"14.3%","11","91.7%",1,"8.3%","77","86.5%","12","13.5%","4","100.0%","2018","aug"
"Hampshire",0,"-",0,"-","276","84.7%","50","15.3%","35","77.8%",10,"22.2%","24","80.0%",6,"20.0%",7,"100.0%",0,"0.0%","150","88.2%","20","11.8%","19","82.6%",4,"17.4%","50","83.3%",10,"16.7%","49","94.2%",3,"5.8%","57","81.4%",13,"18.6%","14","87.5%",2,"12.5%","209","93.7%","14","6.3%","23","100.0%","2018","aug"
"Hertfordshire",1,"100.0%",0,"0.0%","150","76.1%","47","23.9%","10","76.9%",3,"23.1%","18","85.7%",3,"14.3%",6,"75.0%",2,"25.0%","152","95.0%","8","5.0%","17","81.0%",4,"19.0%","29","90.6%",3,"9.4%","54","96.4%",2,"3.6%","35","85.4%",6,"14.6%","6","50.0%",6,"50.0%","114","79.7%","29","20.3%","25","100.0%","2018","aug"
"Humberside",1,"100.0%",0,"0.0%","173","80.8%","41","19.2%","11","64.7%",6,"35.3%","19","86.4%",3,"13.6%",6,"85.7%",1,"14.3%","129","92.1%","11","7.9%","8","72.7%",3,"27.3%","40","93.0%",3,"7.0%","52","82.5%",11,"17.5%","48","87.3%",7,"12.7%","3","75.0%",1,"25.0%","95","87.2%","14","12.8%","32","100.0%","2018","aug"
"Kent",1,"50.0%",1,"50.0%","279","78.8%","75","21.2%","21","65.6%",11,"34.4%","41","100.0%",0,"0.0%",10,"100.0%",0,"0.0%","139","89.7%","16","10.3%","29","93.5%",2,"6.5%","62","91.2%",6,"8.8%","77","92.8%",6,"7.2%","59","80.8%",14,"19.2%","21","87.5%",3,"12.5%","160","87.9%","22","12.1%","30","100.0%","2018","aug"
"Lancashire",2,"66.7%",1,"33.3%","264","78.8%","71","21.2%","8","72.7%",3,"27.3%","39","92.9%",3,"7.1%",9,"64.3%",5,"35.7%","195","94.2%","12","5.8%","24","77.4%",7,"22.6%","58","90.6%",6,"9.4%","68","95.8%",3,"4.2%","126","88.7%",16,"11.3%","32","94.1%",2,"5.9%","257","82.1%","56","17.9%","16","100.0%","2018","aug"
"Leicestershire",2,"66.7%",1,"33.3%","205","85.1%","36","14.9%","18","66.7%",9,"33.3%","18","78.3%",5,"21.7%",10,"100.0%",0,"0.0%","70","92.1%","6","7.9%","17","81.0%",4,"19.0%","31","83.8%",6,"16.2%","31","91.2%",3,"8.8%","53","88.3%",7,"11.7%","9","90.0%",1,"10.0%","100","84.7%","18","15.3%","12","100.0%","2018","aug"
"Lincolnshire",1,"50.0%",1,"50.0%","122","80.3%","30","19.7%","9","100.0%",0,"0.0%","19","90.5%",2,"9.5%",1,"100.0%",0,"0.0%","91","91.9%","8","8.1%","15","93.8%",1,"6.3%","29","87.9%",4,"12.1%","43","86.0%",7,"14.0%","55","85.9%",9,"14.1%","6","100.0%",0,"0.0%","133","79.6%","34","20.4%","9","100.0%","2018","aug"
"Merseyside",5,"83.3%",1,"16.7%","321","84.5%","59","15.5%","37","80.4%",9,"19.6%","18","85.7%",3,"14.3%",15,"100.0%",0,"0.0%","176","94.6%","10","5.4%","22","100.0%",0,"0.0%","49","94.2%",3,"5.8%","177","95.7%",8,"4.3%","104","90.4%",11,"9.6%","16","84.2%",3,"15.8%","266","87.2%","39","12.8%","17","100.0%","2018","aug"
"Metropolitan and City",9,"69.2%",4,"30.8%","1,455","69.9%","626","30.1%","141","65.9%",73,"34.1%","175","77.4%",51,"22.6%",73,"70.9%",30,"29.1%","687","81.4%","157","18.6%","210","83.3%",42,"16.7%","198","79.5%",51,"20.5%","904","90.2%",98,"9.8%","457","74.8%",154,"25.2%","192","89.3%",23,"10.7%","850","78.1%","238","21.9%","217","100.0%","2018","aug"
"Norfolk",0,"-",0,"-","175","89.3%","21","10.7%","4","80.0%",1,"20.0%","11","91.7%",1,"8.3%",3,"75.0%",1,"25.0%","100","97.1%","3","2.9%","22","91.7%",2,"8.3%","26","83.9%",5,"16.1%","41","100.0%",0,"0.0%","82","90.1%",9,"9.9%","6","60.0%",4,"40.0%","120","93.8%","8","6.3%","12","100.0%","2018","aug"
"Northamptonshire",1,"100.0%",0,"0.0%","117","75.0%","39","25.0%","9","90.0%",1,"10.0%","14","93.3%",1,"6.7%",4,"100.0%",0,"0.0%","54","90.0%","6","10.0%","3","75.0%",1,"25.0%","29","87.9%",4,"12.1%","23","92.0%",2,"8.0%","26","92.9%",2,"7.1%","13","92.9%",1,"7.1%","98","89.9%","11","10.1%","11","100.0%","2018","aug"
"Northumbria",3,"100.0%",0,"0.0%","257","76.9%","77","23.1%","51","81.0%",12,"19.0%","37","80.4%",9,"19.6%",5,"50.0%",5,"50.0%","301","93.5%","21","6.5%","26","81.3%",6,"18.8%","63","94.0%",4,"6.0%","73","89.0%",9,"11.0%","154","81.1%",36,"18.9%","21","84.0%",4,"16.0%","214","86.3%","34","13.7%","13","100.0%","2018","aug"
"North Wales",2,"66.7%",1,"33.3%","152","84.9%","27","15.1%","13","72.2%",5,"27.8%","11","84.6%",2,"15.4%",4,"57.1%",3,"42.9%","87","94.6%","5","5.4%","7","100.0%",0,"0.0%","22","95.7%",1,"4.3%","43","95.6%",2,"4.4%","53","94.6%",3,"5.4%","4","80.0%",1,"20.0%","125","92.6%","10","7.4%","2","100.0%","2018","aug"
"North Yorkshire",2,"100.0%",0,"0.0%","139","76.8%","42","23.2%","4","100.0%",0,"0.0%","16","84.2%",3,"15.8%",0,"0",0,"0","127","92.7%","10","7.3%","12","80.0%",3,"20.0%","24","85.7%",4,"14.3%","30","88.2%",4,"11.8%","63","76.8%",19,"23.2%","9","81.8%",2,"18.2%","128","89.5%","15","10.5%","38","100.0%","2018","aug"
"Nottinghamshire",1,"100.0%",0,"0.0%","238","80.7%","57","19.3%","56","86.2%",9,"13.8%","23","79.3%",6,"20.7%",4,"66.7%",2,"33.3%","165","95.9%","7","4.1%","15","93.8%",1,"6.3%","49","89.1%",6,"10.9%","104","90.4%",11,"9.6%","114","82.6%",24,"17.4%","16","84.2%",3,"15.8%","144","91.7%","13","8.3%","13","100.0%","2018","aug"
"South Wales",0,"-",0,"-","359","74.9%","120","25.1%","39","86.7%",6,"13.3%","38","92.7%",3,"7.3%",11,"78.6%",3,"21.4%","252","93.3%","18","6.7%","26","92.9%",2,"7.1%","72","87.8%",10,"12.2%","130","94.2%",8,"5.8%","137","87.3%",20,"12.7%","17","77.3%",5,"22.7%","226","76.1%","71","23.9%","17","100.0%","2018","aug"
"South Yorkshire",1,"50.0%",1,"50.0%","266","78.2%","74","21.8%","15","88.2%",2,"11.8%","50","87.7%",7,"12.3%",5,"62.5%",3,"37.5%","195","87.1%","29","12.9%","12","80.0%",3,"20.0%","57","90.5%",6,"9.5%","69","97.2%",2,"2.8%","79","94.0%",5,"6.0%","20","83.3%",4,"16.7%","162","85.7%","27","14.3%","20","100.0%","2018","aug"
"Staffordshire",1,"50.0%",1,"50.0%","210","81.7%","47","18.3%","14","50.0%",14,"50.0%","35","92.1%",3,"7.9%",8,"100.0%",0,"0.0%","136","94.4%","8","5.6%","24","85.7%",4,"14.3%","41","89.1%",5,"10.9%","65","95.6%",3,"4.4%","55","94.8%",3,"5.2%","11","91.7%",1,"8.3%","156","88.1%","21","11.9%","19","100.0%","2018","aug"
"Suffolk",0,"-",0,"-","127","90.7%","13","9.3%","7","100.0%",0,"0.0%","11","84.6%",2,"15.4%",2,"100.0%",0,"0.0%","40","95.2%","2","4.8%","6","85.7%",1,"14.3%","28","96.6%",1,"3.4%","45","93.8%",3,"6.3%","30","100.0%",0,"0.0%","3","75.0%",1,"25.0%","72","94.7%","4","5.3%","3","100.0%","2018","aug"
"Surrey",0,"-",0,"-","124","77.0%","37","23.0%","16","88.9%",2,"11.1%","19","90.5%",2,"9.5%",1,"100.0%",0,"0.0%","67","91.8%","6","8.2%","20","90.9%",2,"9.1%","23","88.5%",3,"11.5%","48","92.3%",4,"7.7%","23","76.7%",7,"23.3%","10","90.9%",1,"9.1%","117","92.9%","9","7.1%","8","100.0%","2018","aug"
"Sussex",0,"-",0,"-","226","77.7%","65","22.3%","24","68.6%",11,"31.4%","19","95.0%",1,"5.0%",2,"100.0%",0,"0.0%","108","89.3%","13","10.7%","14","87.5%",2,"12.5%","22","75.9%",7,"24.1%","69","92.0%",6,"8.0%","65","86.7%",10,"13.3%","17","89.5%",2,"10.5%","216","92.3%","18","7.7%","11","100.0%","2018","aug"
"Thames Valley",3,"75.0%",1,"25.0%","278","74.5%","95","25.5%","31","73.8%",11,"26.2%","32","82.1%",7,"17.9%",10,"76.9%",3,"23.1%","170","94.4%","10","5.6%","36","92.3%",3,"7.7%","51","85.0%",9,"15.0%","124","95.4%",6,"4.6%","91","88.3%",12,"11.7%","31","91.2%",3,"8.8%","313","90.7%","32","9.3%","31","100.0%","2018","aug"
"Warwickshire",0,"-",0,"-","58","78.4%","16","21.6%","8","57.1%",6,"42.9%","9","81.8%",2,"18.2%",2,"100.0%",0,"0.0%","55","87.3%","8","12.7%","7","87.5%",1,"12.5%","14","87.5%",2,"12.5%","22","91.7%",2,"8.3%","20","87.0%",3,"13.0%","1","100.0%",0,"0.0%","69","76.7%","21","23.3%","6","100.0%","2018","aug"
"West Mercia",0,"-",0,"-","198","77.6%","57","22.4%","12","66.7%",6,"33.3%","15","78.9%",4,"21.1%",1,"100.0%",0,"0.0%","150","93.8%","10","6.3%","18","94.7%",1,"5.3%","45","88.2%",6,"11.8%","64","97.0%",2,"3.0%","70","82.4%",15,"17.6%","25","80.6%",6,"19.4%","222","92.9%","17","7.1%","10","100.0%","2018","aug"
"West Midlands",2,"40.0%",3,"60.0%","663","79.5%","171","20.5%","76","77.6%",22,"22.4%","53","80.3%",13,"19.7%",35,"77.8%",10,"22.2%","467","91.4%","44","8.6%","49","75.4%",16,"24.6%","92","88.5%",12,"11.5%","202","91.4%",19,"8.6%","231","83.4%",46,"16.6%","50","84.7%",9,"15.3%","311","84.5%","57","15.5%","76","100.0%","2018","aug"
"West Yorkshire",0,"-",0,"-","495","82.8%","103","17.2%","62","75.6%",20,"24.4%","52","89.7%",6,"10.3%",36,"94.7%",2,"5.3%","253","91.3%","24","8.7%","31","88.6%",4,"11.4%","80","88.9%",10,"11.1%","129","90.8%",13,"9.2%","141","87.0%",21,"13.0%","26","83.9%",5,"16.1%","252","91.3%","24","8.7%","70","100.0%","2018","aug"
"Wiltshire",0,"-",0,"-","112","89.6%","13","10.4%","8","88.9%",1,"11.1%","11","91.7%",1,"8.3%",2,"66.7%",1,"33.3%","83","95.4%","4","4.6%","9","90.0%",1,"10.0%","26","96.3%",1,"3.7%","29","93.5%",2,"6.5%","33","89.2%",4,"10.8%","5","100.0%",0,"0.0%","74","96.1%","3","3.9%","7","100.0%","2018","aug"
"National",80,"80.0%",20,"20.0%","8,018","79.5%","2,070","20.5%","853","74.7%",289,"25.3%","875","89.1%",107,"10.9%",294,"78.8%",79,"21.2%","5,134","92.4%","425","7.6%","721","87.3%",105,"12.7%","1,356","84.3%",252,"15.7%","2,940","93.4%",209,"6.6%","2,462","86.8%",373,"13.2%","680","86.6%",105,"13.4%","5,954","86.5%","933","13.5%","894","100.0%","2018","dec"
"Avon and Somerset",0,"-",0,"-","203","83.9%","39","16.1%","48","80.0%",12,"20.0%","26","83.9%",5,"16.1%",7,"87.5%",1,"12.5%","126","94.7%","7","5.3%","19","100.0%",0,"0.0%","38","92.7%",3,"7.3%","61","95.3%",3,"4.7%","64","83.1%",13,"16.9%","10","76.9%",3,"23.1%","137","94.5%","8","5.5%","36","100.0%","2018","dec"
"Bedfordshire",0,"-",0,"-","77","75.5%","25","24.5%","7","100.0%",0,"0.0%","18","90.0%",2,"10.0%",2,"100.0%",0,"0.0%","43","84.3%","8","15.7%","4","80.0%",1,"20.0%","13","76.5%",4,"23.5%","22","100.0%",0,"0.0%","17","89.5%",2,"10.5%","1","50.0%",1,"50.0%","69","84.1%","13","15.9%","14","100.0%","2018","dec"
"Cambridgeshire",0,"-",0,"-","115","81.6%","26","18.4%","7","77.8%",2,"22.2%","11","78.6%",3,"21.4%",0,"0.0%",2,"100.0%","57","95.0%","3","5.0%","10","90.9%",1,"9.1%","24","92.3%",2,"7.7%","23","88.5%",3,"11.5%","27","90.0%",3,"10.0%","3","60.0%",2,"40.0%","63","95.5%","3","4.5%","17","100.0%","2018","dec"
"Cheshire",1,"50.0%",1,"50.0%","206","80.5%","50","19.5%","22","75.9%",7,"24.1%","18","85.7%",3,"14.3%",8,"100.0%",0,"0.0%","126","92.6%","10","7.4%","7","87.5%",1,"12.5%","41","93.2%",3,"6.8%","61","92.4%",5,"7.6%","77","85.6%",13,"14.4%","11","100.0%",0,"0.0%","190","84.8%","34","15.2%","18","100.0%","2018","dec"
"Cleveland",0,"-",0,"-","94","74.6%","32","25.4%","5","83.3%",1,"16.7%","31","88.6%",4,"11.4%",6,"100.0%",0,"0.0%","181","94.3%","11","5.7%","11","91.7%",1,"8.3%","33","100.0%",0,"0.0%","59","96.7%",2,"3.3%","41","89.1%",5,"10.9%","4","100.0%",0,"0.0%","50","80.6%","12","19.4%","5","100.0%","2018","dec"
"Cumbria",1,"100.0%",0,"0.0%","101","87.1%","15","12.9%","4","100.0%",0,"0.0%","1","100.0%",0,"0.0%",1,"50.0%",1,"50.0%","60","95.2%","3","4.8%","5","71.4%",2,"28.6%","11","78.6%",3,"21.4%","22","100.0%",0,"0.0%","35","92.1%",3,"7.9%","5","100.0%",0,"0.0%","77","91.7%","7","8.3%","1","100.0%","2018","dec"
"Derbyshire",1,"100.0%",0,"0.0%","129","82.2%","28","17.8%","8","88.9%",1,"11.1%","13","100.0%",0,"0.0%",3,"100.0%",0,"0.0%","120","89.6%","14","10.4%","11","100.0%",0,"0.0%","21","75.0%",7,"25.0%","42","95.5%",2,"4.5%","44","81.5%",10,"18.5%","16","51.6%",15,"48.4%","82","82.8%","17","17.2%","8","100.0%","2018","dec"
"Devon and Cornwall",1,"100.0%",0,"0.0%","152","84.0%","29","16.0%","11","100.0%",0,"0.0%","11","100.0%",0,"0.0%",3,"60.0%",2,"40.0%","78","95.1%","4","4.9%","5","83.3%",1,"16.7%","32","94.1%",2,"5.9%","38","88.4%",5,"11.6%","33","78.6%",9,"21.4%","5","100.0%",0,"0.0%","151","87.3%","22","12.7%","10","100.0%","2018","dec"
"Dorset",0,"-",0,"-","97","89.8%","11","10.2%","5","62.5%",3,"37.5%","12","92.3%",1,"7.7%",5,"100.0%",0,"0.0%","72","96.0%","3","4.0%","10","100.0%",0,"0.0%","15","78.9%",4,"21.1%","35","97.2%",1,"2.8%","22","71.0%",9,"29.0%","8","80.0%",2,"20.0%","117","93.6%","8","6.4%","22","100.0%","2018","dec"
"Durham",3,"100.0%",0,"0.0%","81","79.4%","21","20.6%","2","100.0%",0,"0.0%","18","85.7%",3,"14.3%",1,"100.0%",0,"0.0%","80","88.9%","10","11.1%","4","100.0%",0,"0.0%","19","86.4%",3,"13.6%","8","100.0%",0,"0.0%","26","96.3%",1,"3.7%","3","100.0%",0,"0.0%","58","95.1%","3","4.9%","4","100.0%","2018","dec"
"Dyfed Powys",0,"-",0,"-","42","80.8%","10","19.2%","9","90.0%",1,"10.0%","4","80.0%",1,"20.0%",0,"0",0,"0","24","82.8%","5","17.2%","1","100.0%",0,"0.0%","14","100.0%",0,"0.0%","31","100.0%",0,"0.0%","16","84.2%",3,"15.8%","3","75.0%",1,"25.0%","46","92.0%","4","8.0%","5","100.0%","2018","dec"
